customerId,firstName,lastName,email,mobileNumber,panNumber,dateOfBirth
5d299545-445c-4d37-99f7-87cfef423722,Prakash,Sharma,prakash.sharma0@gmail.com,917456775329,ONREL7123Y,1972-01-29
0747eb3c-3aec-4ded-8954-30c46805509c,Rohit,Patil,rohit.patil1@gmail.com,918437535251,LRARZ4705X,1984-02-03
f451b61d-bce0-41c8-8c88-eceeaccd626f,Vikas,Patil,vikas.patil2@gmail.com,918834117223,WXFCFS446E,1993-12-15
c7c3c1a1-b194-4fa5-9aaa-733f64f5cd5b,Vikas,Kulkarni,vikas.kulkarni3@gmail.com,919926630443,OXLSI7169D,1966-12-11
d437ab2e-69ee-4e34-ba76-d0491bbf25b5,Rohit,Kulkarni,rohit.kulkarni4@gmail.com,918334239985,CVCCN8751T,1973-06-02
4e018edb-7eab-4519-8788-f0b41fdc3f1e,Prakash,Joshi,prakash.joshi5@gmail.com,918345531492,GRIZC7736O,1967-11-23
e6249e78-478a-42d4-b9ae-ec987999dce1,Prakash,Patil,prakash.patil6@gmail.com,917880510069,IPMKK9359E,1998-05-10
111e87ba-bd91-43ac-811a-dfa568a9983d,Prakash,Sharma,prakash.sharma7@gmail.com,918107699324,KYOVH3081U,1979-07-30
4d590912-4305-45d5-9489-a971a903e1f8,Nitin,Desai,nitin.desai8@gmail.com,918973471806,UGGSE4363L,1971-03-16
2d0d0565-ba58-4612-adb6-c94f08f12af8,Rohit,Patil,rohit.patil9@gmail.com,918218665207,KXCZI6503P,1992-11-11
cc03cefa-de3e-4b86-b90e-45fbb0497ebc,Vikas,Desai,vikas.desai10@gmail.com,917411124680,HVBNK9341L,1967-07-03
e92caec1-35b8-4ba2-9deb-7817a0f93803,Suresh,Patil,suresh.patil11@gmail.com,918977350737,RJYGS8538R,1981-02-11
d95d1208-623a-4b19-831a-fe24b75f2bfc,Manoj,Joshi,manoj.joshi12@gmail.com,917540097048,IELWJ2062X,1989-03-31
5612f7e4-73d7-4ec6-a404-6972d0830dfb,Kiran,Kulkarni,kiran.kulkarni13@gmail.com,919208907019,IDHEE1342W,1967-08-07
fa97517b-75a4-41ed-ac26-f5e1b4caa223,Manoj,Gupta,manoj.gupta14@gmail.com,919335928938,VSCSE4924X,1965-04-04
2a651f65-c990-4200-bb13-275dccb2265e,Nitin,Sharma,nitin.sharma15@gmail.com,91987102290,PODIH6140T,1995-02-05
0c14e863-6bd1-42ac-b0c6-3d7de04a7727,Prakash,Mehta,prakash.mehta16@gmail.com,917928787611,NEAEZ9980B,1974-07-27
d378a07b-6ad6-41e6-9b35-c176cfbb9043,Suresh,Kulkarni,suresh.kulkarni17@gmail.com,918101765736,WKEN56237P,1983-12-07
42871a14-14fa-4f31-a9ba-6e1b55638c2b,Vikas,Gupta,vikas.gupta18@gmail.com,919669314064,LMGAG6148D,1994-06-27
ea7bec80-cb2d-4184-866e-27b4e5d903b0,Nitin,Patil,nitin.patil19@gmail.com,917550112988,EAXHF2718R,1981-04-18
